prompt_id,question,domain_canonical,domain_inconsistent,adversarial,n_samples,n_correct,n_incorrect,n_refused,n_definitive,frac_correct,frac_incorrect,frac_refused,hall_rate_strict,p_halluc,hall_rate_naive,score_mean,score_std,len_mean,len_std,H_sem,D_cos,M_bar,K,sig2_S,label
triviaqa_00000_t1.0,What general name is given to a rotating star which emits a regular beat of radiation?,STEM,False,False,20,2,18,0,20,0.1,0.9,0.0,0.9,0.9,0.9,1.45,1.2031209415515964,13.75,4.866980583482946,1.5709505944488977,0.1465417742729187,45.28116989135742,4,0.09657537192106247,1
triviaqa_00001_t1.0,"""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""",Humanities,False,False,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.55,0.49749371855331,16.85,5.4614558498627455,1.6954618442311085,0.30474233627319336,40.133419036865234,5,0.1394827663898468,1
triviaqa_00002_t1.0,Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,STEM,True,False,20,4,16,0,20,0.2,0.8,0.0,0.8,0.8,0.8,2.0,1.5491933384829668,14.35,12.650197626914768,3.5219280948686063,0.37660402059555054,30.411584854125977,13,0.03730082884430885,1
triviaqa_00003_t1.0,Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,Humanities,True,False,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.25,0.4330127018922193,14.35,12.446987587364262,3.0709505944387985,0.40878695249557495,42.21434020996094,11,0.0783313512802124,1
triviaqa_00004_t1.0,Who is the patron saint of dancers?,Humanities,False,False,20,1,19,0,20,0.05,0.95,0.0,0.95,0.95,0.95,1.55,0.9205976319760983,26.4,34.34152005954308,3.3086949695440864,0.22732868790626526,30.76236915588379,13,0.025999536737799644,1
triviaqa_00005_t1.0,"Published on Feb 21, 1848, which two authors were responsible for the Communist Manifesto?",Humanities,True,False,20,20,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,28.75,3.1284980421921316,-1.4428232973175175e-12,0.009925407357513905,16.116596221923828,1,0.001466549700126052,0
triviaqa_00006_t1.0,The fortified wine drink Sherry is named after what town?,STEM,True,False,20,19,1,0,20,0.95,0.05,0.0,0.05,0.05,0.050000000000000044,4.85,0.653834841531101,10.8,16.642115250171777,1.1540157730670293,0.06889952719211578,15.258485794067383,4,0.030853047966957092,0
triviaqa_00007_t1.0,The nickname for Dumfries became the name of which Scottish football club?,Social Sciences,False,False,20,13,7,0,20,0.65,0.35,0.0,0.35,0.35,0.35,3.7,1.7916472867168918,100.9,152.9614003596986,2.7954618442224515,0.33710336685180664,28.607616424560547,11,0.10925532132387161,0
triviaqa_00008_t1.0,The revolutionary group the Sandinistas were active in which country?,Social Sciences,False,False,20,20,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,9.0,0.0,-1.4428232973175175e-12,-1.1920928955078125e-07,13.326807975769043,1,1.4210854715202004e-14,0
triviaqa_00009_t1.0,Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,Social Sciences,False,False,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,19.25,14.113380176272443,3.7219280948657207,0.3919129967689514,34.98405456542969,15,0.03417804837226868,1
triviaqa_00010_t1.0,"""Who said, To err is human but it feels divine?""""""",Humanities,False,False,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.55,0.4974937185533099,39.35,81.23870690748343,3.8464393446479326,0.4270487427711487,43.53023910522461,16,0.029134729877114296,1
triviaqa_00011_t1.0,"When Mr Benn was looking for an adventure, what type of shop did he visit?",Humanities,False,False,20,1,19,0,20,0.05,0.95,0.0,0.95,0.95,0.95,2.1,0.7000000000000001,12.95,11.859489870985175,2.9464393446565884,0.195118710398674,40.44477462768555,10,0.038251787424087524,1
triviaqa_00012_t1.0,What was made and repaired by a Wainwright?,History,True,False,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.95,0.21794494717703372,10.65,12.57885129890643,1.97095059444457,0.1777886599302292,32.91342544555664,7,0.08641084283590317,1
triviaqa_00013_t1.0,"The War of the Triple Alliance (1864 - 1870) was fought between the allied countries of Argentina, Brazil, and Uruguay and which other country?",Social Sciences,False,False,20,20,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,8.05,0.21794494717703367,-1.4428232973175175e-12,0.0015576363075524569,14.07776927947998,1,9.662977390689775e-05,0
