prompt_id,question,domain_canonical,domain_inconsistent,adversarial,dataset,n_samples,n_correct,n_incorrect,n_refused,n_definitive,frac_correct,frac_incorrect,frac_refused,hall_rate_strict,hall_rate_merged,p_halluc,score_mean,score_std,len_mean,len_std,H_sem,D_cos,D_cos_var,D_pair,K,sig2_S,label
triviaqa_00000_t1.0,What general name is given to a rotating star which emits a regular beat of radiation?,STEM,False,False,triviaqa,20,2,18,0,20,0.1,0.9,0.0,0.9,0.9,0.9,1.45,1.2031209415515964,13.75,4.866980583482946,1.5709505944488977,0.14654158055782318,0.04308126121759415,0.28590402007102966,4,0.09657545387744904,1
triviaqa_00001_t1.0,"""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""",Humanities,False,False,triviaqa,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.55,0.49749371855331,16.85,5.4614558498627455,1.6954618442311085,0.3047424256801605,0.02454739436507225,0.5438070893287659,5,0.13948270678520203,1
triviaqa_00002_t1.0,Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,STEM,True,False,triviaqa,20,4,16,0,20,0.2,0.8,0.0,0.8,0.8,0.8,2.0,1.5491933384829668,14.35,12.650197626914768,3.5219280948686063,0.37660396099090576,0.0052053239196538925,0.643555223941803,13,0.03730081766843796,1
triviaqa_00003_t1.0,Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,Humanities,True,False,triviaqa,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.25,0.4330127018922193,14.35,12.446987587364262,3.0709505944387985,0.40878695249557495,0.02679578959941864,0.6847022771835327,11,0.07833133637905121,1
triviaqa_00004_t1.0,Who is the patron saint of dancers?,Humanities,False,False,triviaqa,20,1,19,0,20,0.05,0.95,0.0,0.95,0.95,0.95,1.55,0.9205976319760983,26.4,34.34152005954308,3.3086949695440864,0.22732865810394287,0.005593943875283003,0.42418864369392395,13,0.025999566540122032,1
triviaqa_00005_t1.0,"Published on Feb 21, 1848, which two authors were responsible for the Communist Manifesto?",Humanities,True,False,triviaqa,20,20,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,28.75,3.1284980421921316,-1.4428232973175175e-12,0.009925457648932934,0.0006274898769333959,0.020791642367839813,1,0.0014665484195575118,0
triviaqa_00006_t1.0,The fortified wine drink Sherry is named after what town?,STEM,True,False,triviaqa,20,19,1,0,20,0.95,0.05,0.0,0.05,0.05,0.05,4.85,0.653834841531101,10.8,16.642115250171777,1.1540157730670293,0.06889960169792175,0.012424670159816742,0.1400548368692398,4,0.030853062868118286,0
triviaqa_00007_t1.0,The nickname for Dumfries became the name of which Scottish football club?,Social Sciences,False,False,triviaqa,20,13,7,0,20,0.65,0.35,0.0,0.35,0.35,0.35,3.7,1.7916472867168918,100.9,152.9614003596986,2.7954618442224515,0.33710354566574097,0.04058920592069626,0.5900718569755554,11,0.10925526171922684,0
triviaqa_00008_t1.0,The revolutionary group the Sandinistas were active in which country?,Social Sciences,False,False,triviaqa,20,20,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,9.0,0.0,-1.4428232973175175e-12,0.0,0.0,0.0,1,0.0,0
triviaqa_00009_t1.0,Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,Social Sciences,False,False,triviaqa,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,19.25,14.113380176272443,3.7219280948657207,0.3919129967689514,0.009652869775891304,0.6634005904197693,15,0.034178055822849274,1
